Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1756487807836578,00000420,false,Rx,0,1,01,00,00,00,00,00,00,00
1756487807836732,00000488,false,Rx,0,8,0A,27,52,00,4A,01,0A,00
1756487807836802,00000393,false,Rx,0,6,FC,00,C5,01,0F,01,00,00
1756487807836865,00000293,false,Rx,0,4,C9,A3,00,00,00,00,00,00
1756487807836926,00000713,false,Rx,0,1,05,00,00,00,00,00,00,00
1756487807836983,00000733,false,Rx,0,8,01,9A,99,19,40,A3,00,05
1756487807837043,00000193,false,Rx,0,6,12,00,F9,FF,00,00,00,00
1756487807838600,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756487807838788,00000390,false,Rx,0,8,00,3D,3C,3D,13,3C,13,3C
1756487807838902,00000390,false,Rx,0,8,07,3C,3D,3C,3D,3D,3D,3C
1756487807839004,00000390,false,Rx,0,8,15,3D,3D,3D,3D,3C,3D,3C
1756487807839123,00000390,false,Rx,0,8,1C,3D,3C,3D,3C,3D,3D,3D
1756487807839244,00000390,false,Rx,0,8,23,3D,3D,3D,13,3D,3D,3C
1756487807839362,00000390,false,Rx,0,8,0E,3D,3D,3D,3D,3D,3D,3D
1756487807839497,00000390,false,Rx,0,8,2A,3D,3D,3D,3D,13,3D,3D
1756487807839599,00000390,false,Rx,0,8,31,3D,3D,3C,3C,3C,3D,3D
1756487807839699,00000390,false,Rx,0,8,3F,13,3D,13,3D,3D,3D,3C
1756487807839817,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756487807839981,00000390,false,Rx,0,8,46,3C,3D,3D,3D,3D,3C,3D
1756487807840089,00000390,false,Rx,0,8,4D,3D,3D,3D,13,13,3D,13
1756487807840210,00000390,false,Rx,0,8,5B,13,3D,13,3D,3D,3D,3D
1756487807840330,00000390,false,Rx,0,8,54,3D,3C,3D,3D,3D,3C,3D
1756487807840449,00000390,false,Rx,0,8,62,3D,3D,13,3D,13,3D,3C
1756487807840567,00000390,false,Rx,0,8,69,3C,3D,3C,3D,13,3D,3D
1756487807840668,00000390,false,Rx,0,8,77,3C,3C,3D,3C,3C,3D,3D
1756487807840767,00000390,false,Rx,0,8,7E,3C,3C,13,3D,3D,3D,3D
1756487807840885,00000390,false,Rx,0,8,70,3D,3C,3D,3D,3C,13,3D
1756487807841004,00000390,false,Rx,0,8,85,3D,3C,13,3D,3D,13,13
1756487807841126,00000390,false,Rx,0,8,8C,13,3D,13,3D,3C,13,3D
1756487807841254,00000390,false,Rx,0,8,9A,3D,3D,3C,3C,3D,3D,3D
1756487807841355,00000390,false,Rx,0,8,93,3D,3C,3D,13,3D,3D,3C
1756487807841455,00000390,false,Rx,0,8,A1,3D,13,3D,13,13,13,3D
1756487807841591,00000390,false,Rx,0,8,A8,3D,3C,13,13,13,3D,13
1756487807841715,00000390,false,Rx,0,8,B6,3D,13,3C,3C,3D,3D,3C
1756487807841835,00000390,false,Rx,0,8,BD,3D,3D,3D,3D,3D,13,13
1756487807841934,00000390,false,Rx,0,8,AF,3D,3D,13,13,13,3D,3D
1756487807842034,00000390,false,Rx,0,8,C4,3C,13,3C,3C,13,3D,3D
1756487807842152,00000181,false,Rx,0,8,04,10,00,EA,02,0A,06,06
1756487807842212,00000390,false,Rx,0,8,D9,3D,3C,3D,3D,3D,3D,3C
1756487807842273,00000390,false,Rx,0,8,D2,13,3D,3C,13,3C,3D,3D
1756487807844669,00000194,false,Rx,0,6,14,00,FF,FF,04,00,00,00
1756487807845323,00000188,false,Rx,0,6,B4,FF,10,00,D2,03,00,00
1756487807845446,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756487807845664,00000488,false,Rx,0,8,0A,27,52,00,4A,01,0A,00
1756487807845896,00000193,false,Rx,0,6,14,00,00,00,00,00,00,00
1756487807849605,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756487807850695,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756487807854492,00000194,false,Rx,0,6,14,00,FF,FF,03,00,00,00
1756487807855138,00000181,false,Rx,0,8,A0,0F,00,E9,02,0A,06,06
