Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1756489055212553,00000420,false,Rx,0,1,01,00,00,00,00,00,00,00
1756489055212735,00000194,false,Rx,0,6,12,00,02,00,00,00,00,00
1756489055212843,00000188,false,Rx,0,6,C5,FF,0D,00,F6,03,00,00
1756489055212943,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756489055213005,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756489055215085,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756489055218184,00000488,false,Rx,0,8,08,27,56,00,54,01,8D,00
1756489055218296,00000393,false,Rx,0,6,0A,01,D5,01,0F,01,00,00
1756489055218399,00000293,false,Rx,0,4,2C,A3,00,00,00,00,00,00
1756489055218498,00000713,false,Rx,0,1,05,00,00,00,00,00,00,00
1756489055218597,00000733,false,Rx,0,8,01,9A,99,19,40,A3,00,05
1756489055218715,00000193,false,Rx,0,6,14,00,F0,FF,01,00,00,00
1756489055219544,00000181,false,Rx,0,8,04,10,00,EA,02,0E,08,09
1756489055222481,00000194,false,Rx,0,6,12,00,01,00,00,00,00,00
1756489055222951,00000188,false,Rx,0,6,BA,FF,18,00,DD,03,00,00
1756489055223177,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756489055223917,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756489055226135,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756489055228156,00000193,false,Rx,0,6,14,00,03,00,FA,FF,00,00
1756489055228444,00000488,false,Rx,0,8,08,27,56,00,54,01,8D,00
1756489055232257,00000194,false,Rx,0,6,12,00,02,00,FF,FF,00,00
1756489055233240,00000188,false,Rx,0,6,B8,FF,16,00,D8,03,00,00
1756489055233476,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756489055234919,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756489055237108,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756489055237980,00000193,false,Rx,0,6,14,00,02,00,FA,FF,00,00
1756489055238584,00000290,false,Rx,0,7,01,E8,00,6F,A1,06,00,00
