Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1756219932735362,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219932736302,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219933737751,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219934739360,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219935740462,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219936742075,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219937743740,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219938426399,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219938426644,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219939267072,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219939267261,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219939267629,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219940180723,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219940180812,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219940934892,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219940935025,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219940935703,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219941637051,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219941637135,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756219942638753,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219943639995,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219944641325,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
1756219945642969,00000421,false,Rx,0,8,01,1C,CA,AD,68,00,00,00
