Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1756220510560090,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756220510560633,00000281,false,Rx,0,1,40,00,00,00,00,00,00,00
1756220511562571,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220512563596,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220513564647,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220514565669,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220515567305,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220516568726,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220517570378,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220518572044,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220519573691,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
1756220520575334,00000421,false,Rx,0,8,01,5E,CC,AD,68,00,00,00
