Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1756488862475772,00000420,false,Rx,0,1,01,00,00,00,00,00,00,00
1756488862476039,00000181,false,Rx,0,8,04,10,00,EA,02,09,05,06
1756488862476816,00000701,false,Rx,0,1,05,00,00,00,00,00,00,00
1756488862479440,00000193,false,Rx,0,6,12,00,F8,FF,00,00,00,00
1756488862480263,00000194,false,Rx,0,6,12,00,FF,FF,00,00,00,00
1756488862480657,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862481752,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862483490,00000188,false,Rx,0,6,B4,FF,14,00,D2,03,00,00
1756488862484329,00000288,false,Rx,0,6,00,00,01,00,00,00,00,00
1756488862484527,00000488,false,Rx,0,8,08,27,55,00,55,01,8C,00
1756488862488403,00000181,false,Rx,0,8,04,10,00,E9,02,09,05,05
1756488862489160,00000193,false,Rx,0,6,14,00,04,00,FF,FF,00,00
1756488862490115,00000194,false,Rx,0,6,14,00,55,00,00,00,00,00
1756488862491644,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862492749,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862494365,00000188,false,Rx,0,6,C6,FF,04,00,F6,03,00,00
1756488862494559,00000288,false,Rx,0,6,00,00,01,00,00,00,00,00
1756488862494759,00000488,false,Rx,0,8,08,27,55,00,55,01,8C,00
1756488862499027,00000193,false,Rx,0,6,14,00,F6,FF,01,00,00,00
1756488862499938,00000194,false,Rx,0,6,14,00,35,00,05,00,00,00
1756488862501627,00000181,false,Rx,0,8,04,10,00,EA,02,09,05,05
1756488862502655,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862503775,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862504595,00000188,false,Rx,0,6,B3,FF,17,00,DF,03,00,00
1756488862504792,00000288,false,Rx,0,6,01,00,00,00,00,00,00,00
1756488862504991,00000488,false,Rx,0,8,08,27,56,00,55,01,8C,00
1756488862508901,00000193,false,Rx,0,6,14,00,EE,FF,FF,FF,00,00
1756488862509793,00000194,false,Rx,0,6,14,00,31,FF,0A,00,00,00
1756488862513726,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862514804,00000181,false,Rx,0,8,04,10,00,EA,02,08,05,05
1756488862514988,00000188,false,Rx,0,6,B4,FF,25,00,DD,03,00,00
1756488862515123,00000004,false,Rx,0,8,00,01,00,00,00,00,00,00
1756488862515257,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756488862515434,00000488,false,Rx,0,8,08,27,56,00,55,01,8C,00
1756488862518669,00000193,false,Rx,0,6,14,00,0A,00,05,00,00,00
1756488862519589,00000194,false,Rx,0,6,14,00,ED,FF,03,00,00,00
1756488862524669,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862524991,00000188,false,Rx,0,6,D0,FF,11,00,F6,03,00,00
1756488862525188,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756488862525385,00000488,false,Rx,0,8,08,27,56,00,55,01,8C,00
1756488862525817,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862528056,00000710,false,Rx,0,1,7F,00,00,00,00,00,00,00
1756488862528474,00000193,false,Rx,0,6,14,00,05,00,01,00,00,00
1756488862529492,00000194,false,Rx,0,6,14,00,6A,00,FF,FF,00,00
1756488862535276,00000188,false,Rx,0,6,BB,FF,15,00,EB,03,00,00
1756488862535458,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756488862535610,00000488,false,Rx,0,8,08,27,56,00,55,01,8C,00
1756488862535825,00000181,false,Rx,0,8,04,10,00,E9,02,08,05,05
1756488862536020,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862536776,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862538326,00000193,false,Rx,0,6,14,00,04,00,FF,FF,00,00
1756488862539243,00000194,false,Rx,0,6,14,00,58,00,06,00,00,00
1756488862540454,00000290,false,Rx,0,7,01,E8,00,09,A2,06,00,00
1756488862540650,00000490,false,Rx,0,5,57,00,00,00,00,00,00,00
1756488862545604,00000188,false,Rx,0,6,A8,FF,12,00,E0,03,00,00
1756488862545764,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756488862545906,00000488,false,Rx,0,8,08,27,56,00,56,01,8C,00
1756488862546706,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862547775,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862548127,00000193,false,Rx,0,6,14,00,05,00,00,00,00,00
1756488862549072,00000394,false,Rx,0,6,7A,05,ED,01,28,01,00,00
1756488862549267,00000294,false,Rx,0,4,B0,A2,16,01,00,00,00,00
1756488862549400,00000004,false,Rx,0,8,00,01,00,00,00,00,00,00
1756488862549612,00000734,false,Rx,0,8,04,8F,C2,F5,3F,A2,16,05
1756488862549764,00000194,false,Rx,0,6,14,00,70,00,07,00,00,00
1756488862555606,00000188,false,Rx,0,6,8A,FF,02,00,D2,03,00,00
1756488862555799,00000288,false,Rx,0,6,FE,FF,00,00,00,00,00,00
1756488862555997,00000488,false,Rx,0,8,08,27,56,00,56,01,8C,00
1756488862557690,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756488862557921,00000393,false,Rx,0,6,10,01,D5,01,0F,01,00,00
1756488862558117,00000293,false,Rx,0,4,83,A2,00,00,00,00,00,00
1756488862558247,00000004,false,Rx,0,8,00,01,00,00,00,00,00,00
