Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1756490740693349,00000420,false,Rx,0,1,01,00,00,00,00,00,00,00
1756490740693464,00000193,false,Rx,0,6,12,00,08,00,00,00,00,00
1756490740698582,00000188,false,Rx,0,6,C5,FF,0C,00,F1,03,00,00
1756490740698689,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756490740699906,00000488,false,Rx,0,8,08,27,57,00,52,01,8A,00
1756490740702545,00000194,false,Rx,0,6,12,00,00,00,00,00,00,00
1756490740702637,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740703133,00000193,false,Rx,0,6,14,00,09,00,05,00,00,00
1756490740703785,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740705962,00000181,false,Rx,0,8,04,10,00,E9,02,12,0C,0D
1756490740709925,00000188,false,Rx,0,6,B6,FF,12,00,CA,03,00,00
1756490740710037,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756490740710155,00000488,false,Rx,0,8,08,27,57,00,52,01,8A,00
1756490740712544,00000194,false,Rx,0,6,14,00,FB,FF,FD,FF,00,00
1756490740712962,00000193,false,Rx,0,6,14,00,F8,FF,FE,FF,00,00
1756490740713662,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740714739,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740720069,00000188,false,Rx,0,6,BE,FF,14,00,EA,03,00,00
1756490740720204,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756490740720320,00000488,false,Rx,0,8,08,27,56,00,52,01,8A,00
1756490740722539,00000194,false,Rx,0,6,14,00,F7,FF,FC,FF,00,00
1756490740722787,00000193,false,Rx,0,6,14,00,06,00,00,00,00,00
1756490740724673,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740725746,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740730267,00000188,false,Rx,0,6,CA,FF,09,00,F9,03,00,00
1756490740730408,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756490740730522,00000488,false,Rx,0,8,08,27,56,00,51,01,8A,00
1756490740732572,00000394,false,Rx,0,6,5F,05,DD,01,16,01,00,00
1756490740732648,00000193,false,Rx,0,6,14,00,04,00,00,00,00,00
1756490740732747,00000294,false,Rx,0,4,EC,A1,7D,00,00,00,00,00
1756490740732843,00000714,false,Rx,0,1,05,00,00,00,00,00,00,00
1756490740732940,00000734,false,Rx,0,8,04,8F,C2,F5,3F,A1,7D,05
1756490740733036,00000194,false,Rx,0,6,14,00,FD,FF,FE,FF,00,00
1756490740735750,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740736842,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740740462,00000188,false,Rx,0,6,B8,FF,19,00,D4,03,00,00
1756490740740613,00000288,false,Rx,0,6,FF,FF,00,00,00,00,00,00
1756490740740724,00000488,false,Rx,0,8,08,27,56,00,51,01,8A,00
1756490740742448,00000193,false,Rx,0,6,14,00,03,00,02,00,00,00
1756490740742563,00000194,false,Rx,0,6,14,00,F8,FF,FE,FF,00,00
1756490740747850,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740747939,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740750663,00000188,false,Rx,0,6,BC,FF,11,00,CC,03,00,00
1756490740750803,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756490740750920,00000488,false,Rx,0,8,08,27,56,00,51,01,8A,00
1756490740752296,00000181,false,Rx,0,8,68,10,00,E9,02,12,0C,0D
1756490740752385,00000193,false,Rx,0,6,14,00,F8,FF,FE,FF,00,00
1756490740752528,00000194,false,Rx,0,6,14,00,F9,FF,FE,FF,00,00
1756490740758859,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740759953,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740760868,00000188,false,Rx,0,6,C8,FF,16,00,F7,03,00,00
1756490740761003,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756490740761120,00000488,false,Rx,0,8,08,27,56,00,52,01,8A,00
1756490740762102,00000193,false,Rx,0,6,14,00,19,00,FF,FF,00,00
1756490740762528,00000194,false,Rx,0,6,14,00,F9,FF,FE,FF,00,00
1756490740765031,00000290,false,Rx,0,7,01,E8,00,13,9B,06,00,00
1756490740765123,00000490,false,Rx,0,5,54,00,00,00,00,00,00,00
1756490740765519,00000181,false,Rx,0,8,04,10,00,E9,02,12,0C,0D
1756490740769855,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740770954,00000214,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740771065,00000188,false,Rx,0,6,C4,FF,05,00,F4,03,00,00
1756490740771206,00000288,false,Rx,0,6,00,00,00,00,00,00,00,00
1756490740771321,00000488,false,Rx,0,8,08,27,56,00,51,01,8A,00
1756490740771929,00000193,false,Rx,0,6,14,00,FE,FF,02,00,00,00
1756490740772535,00000194,false,Rx,0,6,14,00,FA,FF,FF,FF,00,00
1756490740780964,00000213,false,Rx,0,4,08,00,00,00,00,00,00,00
1756490740781262,00000188,false,Rx,0,6,B5,FF,1F,00,CD,03,00,00
1756490740781747,00000393,false,Rx,0,6,11,01,D5,01,17,01,00,00
1756490740781843,00000293,false,Rx,0,4,71,A2,00,00,00,00,00,00
1756490740781940,00000713,false,Rx,0,1,05,00,00,00,00,00,00,00
1756490740782037,00000733,false,Rx,0,8,04,8F,C2,F5,3F,A2,00,05
1756490740782135,00000193,false,Rx,0,6,14,00,F0,FF,FF,FF,00,00
